%Active Power profiles for 672 hours [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Technologies: Photovoltaic (pv), Wind (w), Load (L),,,,,,,,,,,,,,,,,,,,,,,,,,,,
%The number next to the name of the technology indicates the number of the node to which the technology is connected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ppv11,Ppv16,Ppv23,Ppv28,Ppv3,Ppv32,Ppv6,Ppv8,Pw13,Pw22,Pw25,Pw27,Pw5,Pw9,PL10,PL12,PL14,PL15,PL17,PL18,PL19,PL20,PL24,PL26,PL27,PL29,PL30,PL33,PL4,PL6,PL7
0.204884,0.68244,0.510796,0.41016,0.69598,0.3717,0.36346,0.6414,1.04125,5.9658,0.223326,3.807,1.36187,3.4179,0.050773333,0.26285,0.108433333,0.108433333,0.046756,0.10869,0.058505,0.194005,0.31688,0.08937,0.08937,0.047873333,0.16177,0.038164,0.073328,0.044805,0.08766
0.0348313,0.096342,0.0645221,0.063969,0.1046248,0.079935,0.0931022,0.164298,0.8755,5.6226,0.231591,4.0284,1.254821,3.1989,0.051333333,0.27205,0.113043333,0.113043333,0.051192,0.12387,0.05583,0.1997,0.331,0.093366667,0.093366667,0.0516,0.158305,0.039162,0.073356,0.043135,0.08469
0,0,0,0.0037629,0,0,0.00179044,0.0031596,0.767125,5.7537,0.289484,4.6929,1.338087,3.1245,0.056763333,0.3114,0.1258,0.1258,0.061304,0.13874,0.06403,0.22595,0.35411,0.119963333,0.119963333,0.05899,0.1656,0.042344,0.079724,0.045195,0.095
0,0,0,0,0,0,0,0,0.660875,5.7132,0.26467,5.4267,1.409453,3.0249,0.053753333,0.320383333,0.122546667,0.122546667,0.063972,0.159845,0.069795,0.238685,0.34798,0.131733333,0.131733333,0.067353333,0.18687,0.042618,0.086218,0.0465175,0.104115
0,0,0,0,0,0,0,0,0.563125,5.8344,0.297768,5.6205,1.421336,3.03,0.04888,0.313383333,0.114603333,0.114603333,0.063972,0.159845,0.071275,0.24918,0.331,0.129366667,0.129366667,0.071093333,0.19733,0.03952,0.089896,0.0442,0.102385
0,0,0,0,0,0,0,0,0.4845,5.7132,0.26467,5.3022,1.558118,3.015,0.042666667,0.29284,0.096123333,0.096123333,0.057408,0.158485,0.069795,0.230595,0.27811,0.119246667,0.119246667,0.07142,0.18832,0.032888,0.081528,0.0362625,0.097235
0,0,0,0,0,0,0,0,0.4505,5.6529,0.281219,4.9422,1.605701,3.1392,0.035863333,0.236173333,0.07622,0.07622,0.049098,0.146485,0.061235,0.198115,0.23317,0.10459,0.10459,0.065663333,0.174405,0.026266,0.068322,0.02881,0.08325
0,0,0,0,0,0,0,0,0.448375,5.7336,0.322582,4.2777,1.7425,3.3234,0.028141667,0.187003333,0.061223333,0.061223333,0.037168,0.110965,0.048161,0.151785,0.18154,0.08109,0.08109,0.050403333,0.1384,0.020432,0.052468,0.022456,0.0676
0,0,0,0,0,0,0,0,0.435625,5.7336,0.430103,3.5577,1.89108,3.3582,0.021749333,0.14138,0.049886667,0.049886667,0.027736,0.085195,0.036571,0.1198,0.13149,0.061616667,0.061616667,0.037893333,0.111395,0.0157956,0.040222,0.0170785,0.050345
0,0,0,0,0,0,0,0,0.442,5.7639,0.521075,3.1425,1.97438,3.3084,0.017782333,0.092303333,0.03782,0.03782,0.0188676,0.053515,0.024626,0.08528,0.099812,0.043783333,0.043783333,0.025297667,0.082645,0.0137176,0.030484,0.01409375,0.040291
0,0,0,0,0,0,0,0,0.4505,5.7639,0.562438,3.1701,1.92083,3.3183,0.016593333,0.068573333,0.029201667,0.029201667,0.0139552,0.04065,0.0237275,0.06333,0.077525,0.035803333,0.035803333,0.017254667,0.065065,0.0124022,0.021644,0.011825,0.0281025
0,0,0,0,0,0,0,0,0.418625,5.7435,0.719587,3.267,1.91488,3.2487,0.014355,0.055296667,0.027604,0.027604,0.0123658,0.0351665,0.0211205,0.05333,0.069801,0.029815667,0.029815667,0.013779,0.05734,0.01106,0.0177876,0.010929,0.0267225
0,0,0,0,0,0,0,0,0.3995,5.7234,0.851922,3.8625,1.87323,3.1143,0.01456,0.050603333,0.026304333,0.026304333,0.0114538,0.031925,0.0194565,0.047347,0.06887,0.028113667,0.028113667,0.011944333,0.052265,0.0109122,0.016312,0.01045225,0.025904
0,0,0,0,0,0,0,0,0.384625,5.673,1.033885,4.7622,1.77225,3.1293,0.014827333,0.04977,0.027867333,0.027867333,0.0113048,0.032562,0.018647,0.048909,0.068902,0.029863333,0.029863333,0.012463667,0.056505,0.0111164,0.016174,0.01050575,0.023032
0,0,0,0,0,0,0,0,0.42075,5.2995,1.191053,5.8281,1.635434,3.1293,0.016599667,0.055296667,0.030565,0.030565,0.0116036,0.032562,0.020281,0.054785,0.075833,0.031558,0.031558,0.013387333,0.05956,0.0121552,0.0177606,0.01188125,0.028418
0,0,0,0,0,0,0,0,0.490875,5.1681,1.381281,6.8664,1.546235,3.2388,0.022882333,0.092853333,0.046133333,0.046133333,0.0183086,0.048786,0.030331,0.0846,0.1182,0.045793333,0.045793333,0.020419667,0.08741,0.0180672,0.026772,0.01767375,0.034799
0.00204884,0.0240855,0.01075362,0.0112887,0.0318427,0.031974,0.00716159,0.0126381,0.588625,5.3196,1.406095,7.8354,1.510552,3.2487,0.04002,0.158746667,0.072426667,0.072426667,0.029796,0.07927,0.0494015,0.14637,0.20832,0.076133333,0.076133333,0.035136667,0.134375,0.029996,0.045442,0.0284625,0.051485
0.1065424,0.4536,0.338732,0.184383,0.518585,0.34773,0.1414434,0.249606,0.605625,5.562,1.497086,7.7802,1.379703,3.2091,0.052863333,0.222516667,0.098526667,0.098526667,0.04307,0.10869,0.066885,0.186315,0.29344,0.101763333,0.101763333,0.048023333,0.17556,0.04216,0.064032,0.0401025,0.07143
0.323731,1.2645,0.84417,0.66603,1.382882,1.01118,0.445808,0.78672,0.533375,5.5113,1.488802,7.8216,1.207238,3.0897,0.059076667,0.263763333,0.123086667,0.123086667,0.043628,0.12508,0.069795,0.204475,0.33336,0.102136667,0.102136667,0.053433333,0.16458,0.047696,0.078588,0.04859,0.084455
0.614669,1.94292,1.215164,1.27188,1.80591,1.77858,0.657084,1.15956,0.533375,5.8041,1.472272,8.2092,1.100206,2.97015,0.05884,0.27391,0.129093333,0.129093333,0.046468,0.12629,0.061235,0.21077,0.35713,0.090123333,0.090123333,0.05079,0.14729,0.047962,0.085834,0.04737,0.084725
0.936343,2.31624,1.193656,1.45626,2.01977,1.65468,0.837913,1.47867,0.799,5.895,1.505351,8.4723,1.106139,2.95026,0.058953333,0.282353333,0.12471,0.12471,0.034624,0.11792,0.06403,0.20042,0.34261,0.08567,0.08567,0.044426667,0.149655,0.04809,0.081788,0.043525,0.07253
